CIRCONSCRIPTION                    ;      ;    ;     ;Bellerose           ;Deschamps           ;Fournier            ;Gagnon              ;Jenkins             ;Loignon             ;Manolikakis         ;Pigeon              
Saint-Laurent                      ;S.É.  ;S.V.;É.I. ;Maxime              ;Fernand             ;Jean-Marc           ;Roger               ;Brian               ;Pierre Etienne      ;George              ;Marie Josèphe       
MUNICIPALITÉS                      ;      ;    ;     ;O.N.                ;P.M.L.Q.            ;P.L.Q./Q.L.P.       ;P.Q.                ;P.U.N.              ;P.V.Q./G.P.Q.       ;C.A.Q.-É.F.L.       ;Q.S.                
Montréal,v (p)                     ;029.00;100;397;1;0;186;20;1;5;47;5
Montréal,v (p)                     ;029.00;101;254;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;029.00;102;281;1;0;116;10;0;3;27;7
Montréal,v (p)                     ;029.00;103;355;2;0;127;10;0;4;32;7
Montréal,v (p)                     ;029.00;104;281;2;1;67;23;1;3;30;5
TOTAL DU SECTEUR                   ;      ;    ;6275;20;4;2058;216;7;59;474;105
Montréal,v (p)                     ;030.00;105;558;11;0;144;30;0;2;55;19
Montréal,v (p)                     ;030.00;106;269;1;0;107;16;0;3;10;7
Montréal,v (p)                     ;030.00;107;256;2;0;82;12;0;2;15;11
Montréal,v (p)                     ;030.00;108;272;0;0;98;28;1;10;22;12
Montréal,v (p)                     ;030.00;109;259;1;1;85;8;0;6;11;10
TOTAL DU SECTEUR                   ;      ;    ;1614;15;1;516;94;1;23;113;59
Montréal,v (p)                     ;031.00;110;282;2;3;92;8;0;6;24;10
Montréal,v (p)                     ;031.00;111;289;6;1;108;22;1;4;8;15
Montréal,v (p)                     ;031.00;112;278;1;0;104;16;0;1;22;6
Montréal,v (p)                     ;031.00;113;280;2;1;73;36;0;3;22;12
Montréal,v (p)                     ;031.00;114;290;1;2;118;21;0;6;24;6
TOTAL DU SECTEUR                   ;      ;    ;1419;12;7;495;103;1;20;100;49
Montréal,v (p)                     ;032.00;115;237;1;0;72;17;0;3;15;7
Montréal,v (p)                     ;032.00;116;242;0;1;59;16;1;4;17;5
Montréal,v (p)                     ;032.00;117;223;2;0;56;18;1;2;9;1
Montréal,v (p)                     ;032.00;118;299;3;0;104;15;1;6;9;2
Montréal,v (p)                     ;032.00;119;321;5;3;116;12;0;4;19;9
TOTAL DU SECTEUR                   ;      ;    ;1322;11;4;407;78;3;19;69;24
Montréal,v (p)                     ;033.00;120;281;4;1;65;17;3;7;17;10
Montréal,v (p)                     ;033.00;121;297;2;0;70;24;1;3;17;13
Montréal,v (p)                     ;033.00;122;288;1;1;92;12;1;4;5;6
Montréal,v (p)                     ;033.00;123;312;2;0;116;6;0;4;16;3
Montréal,v (p)                     ;033.00;124;278;1;1;87;25;2;4;19;9
Montréal,v (p)                     ;033.00;125;301;2;0;100;12;0;6;12;17
Montréal,v (p)                     ;033.00;126;233;0;0;72;5;1;2;3;10
Montréal,v (p)                     ;033.00;127;304;1;4;90;17;0;2;21;14
Montréal,v (p)                     ;033.00;128;299;6;1;89;20;0;5;26;7
TOTAL DU SECTEUR                   ;      ;    ;2593;19;8;781;138;8;37;136;89
Montréal,v (p)                     ;034.00;129;366;6;0;76;48;0;5;25;19
Montréal,v (p)                     ;034.00;130;315;6;1;58;42;5;4;20;20
Montréal,v (p)                     ;034.00;131;318;14;2;67;53;0;8;27;36
Montréal,v (p)                     ;034.00;132;323;10;1;69;52;0;6;48;35
Montréal,v (p)                     ;034.00;133;308;6;1;80;48;0;11;44;12
Montréal,v (p)                     ;034.00;134;347;3;0;105;24;0;7;23;16
TOTAL DU SECTEUR                   ;      ;    ;1977;45;5;455;267;5;41;187;138
Montréal,v (p)                     ;035.00;135;332;2;0;107;23;2;6;28;18
Montréal,v (p)                     ;035.00;136;349;3;1;128;19;0;3;18;7
Montréal,v (p)                     ;035.00;137;302;2;1;105;35;1;2;31;10
Montréal,v (p)                     ;035.00;138;344;2;1;143;7;0;3;16;3
Montréal,v (p)                     ;035.00;139;303;3;0;127;19;0;1;30;10
Montréal,v (p)                     ;035.00;140;335;2;0;121;12;1;1;30;10
Montréal,v (p)                     ;035.00;141;316;0;0;129;15;0;7;16;5
TOTAL DU SECTEUR                   ;      ;    ;2281;14;3;860;130;4;23;169;63
Montréal,v (p)                     ;036.00;142;21;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;036.00;143;135;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;036.00;144;265;0;1;94;3;1;5;13;8
Montréal,v (p)                     ;036.00;145;254;0;0;100;4;0;4;15;5
Montréal,v (p)                     ;036.00;146;287;1;1;105;7;1;4;15;3
Montréal,v (p)                     ;036.00;147;255;3;0;76;3;2;6;15;4
Montréal,v (p)                     ;036.00;148;300;1;1;93;5;1;4;22;4
Montréal,v (p)                     ;036.00;149;275;0;0;117;8;1;2;12;2
Montréal,v (p)                     ;036.00;150;282;0;0;76;5;2;3;12;1
Montréal,v (p)                     ;036.00;151;267;0;0;91;0;0;1;12;0
TOTAL DU SECTEUR                   ;      ;    ;2341;5;3;752;35;8;29;116;27
Montréal,v (p)                     ;037.00;152;332;0;0;129;3;1;2;18;2
Montréal,v (p)                     ;037.00;153;293;0;0;114;3;0;2;24;1
Montréal,v (p)                     ;037.00;154;310;1;0;165;2;0;5;16;1
Montréal,v (p)                     ;037.00;155;293;4;0;150;6;1;2;14;2
Montréal,v (p)                     ;037.00;156;302;2;0;180;4;1;1;18;1
Montréal,v (p)                     ;037.00;157;305;0;0;120;6;0;0;10;1
Montréal,v (p)                     ;037.00;158;337;1;1;165;8;0;4;20;2
TOTAL DU SECTEUR                   ;      ;    ;2172;8;1;1023;32;3;16;120;10
Montréal,v (p)                     ;038.00;159;303;0;0;189;0;0;1;10;0
Montréal,v (p)                     ;038.00;160;326;0;0;152;2;1;3;12;1
Montréal,v (p)                     ;038.00;161;333;0;0;116;5;0;2;18;2
Montréal,v (p)                     ;038.00;162;324;1;1;97;6;0;5;16;11
Montréal,v (p)                     ;038.00;163;308;0;0;109;5;1;1;15;3
Montréal,v (p)                     ;038.00;164;318;1;0;154;3;0;7;14;6
TOTAL DU SECTEUR                   ;      ;    ;1912;2;1;817;21;2;19;85;23
Montréal,v (p)                     ;039.00;165;271;0;0;142;1;0;0;6;2
Montréal,v (p)                     ;039.00;166;287;1;0;166;0;0;2;8;2
Montréal,v (p)                     ;039.00;167;274;1;0;126;6;0;0;21;9
Montréal,v (p)                     ;039.00;168;278;0;0;85;10;1;2;11;1
Montréal,v (p)                     ;039.00;169;265;1;0;87;15;0;0;9;3
